City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hofn,IS,2021-06-01 18:56:20,64.2539,-15.2082,46.22,81,5,31.07
1,La Ronge,CA,2021-06-01 18:56:20,55.1001,-105.2842,73.65,35,40,10.36
2,San Cristobal,VE,2021-06-01 18:56:21,7.7669,-72.225,67.23,99,100,3.89
3,Vaini,TO,2021-06-01 18:56:21,-21.2,-175.2,71.76,94,75,3.44
4,Hobyo,SO,2021-06-01 18:56:21,5.3505,48.5268,79.34,80,99,20.45
5,San Patricio,US,2021-06-01 18:56:21,28.017,-97.5169,82.85,50,66,7.38
6,Qaqortoq,GL,2021-06-01 18:56:22,60.7167,-46.0333,42.33,72,52,12.55
7,Lebu,CL,2021-06-01 18:56:22,-37.6167,-73.65,57.25,98,100,7.83
8,Punta Arenas,CL,2021-06-01 18:56:23,-53.15,-70.9167,33.82,80,40,3.24
9,Faya,SA,2021-06-01 18:56:23,18.3851,42.4509,78.91,15,5,12.33
10,Hilo,US,2021-06-01 18:55:49,19.7297,-155.09,81.81,78,28,1.99
11,Jamestown,US,2021-06-01 18:54:32,42.097,-79.2353,73.02,41,20,5.01
12,Busselton,AU,2021-06-01 18:56:23,-33.65,115.3333,56.05,63,100,5.26
13,Atuona,PF,2021-06-01 18:56:24,-9.8,-139.0333,79.93,75,20,16.62
14,Kloulklubed,PW,2021-06-01 18:56:24,7.0419,134.2556,84.45,76,50,11.45
15,Cap Malheureux,MU,2021-06-01 18:56:24,-19.9842,57.6142,72.46,84,98,5.01
16,Port Alfred,ZA,2021-06-01 18:54:10,-33.5906,26.891,61.86,83,99,9.06
17,Chokurdakh,RU,2021-06-01 18:56:25,70.6333,147.9167,59.59,42,42,3.69
18,Pasni,PK,2021-06-01 18:56:25,25.2631,63.471,84.07,86,0,3.11
19,Bemidji,US,2021-06-01 18:56:25,47.4736,-94.8803,76.91,28,1,5.75
20,Guiratinga,BR,2021-06-01 18:56:26,-16.3494,-53.7583,88.68,32,43,5.53
21,Ushuaia,AR,2021-06-01 18:56:26,-54.8,-68.3,29.86,93,75,11.5
22,Cururupu,BR,2021-06-01 18:56:26,-1.8283,-44.8683,83.25,72,21,4.7
23,Mount Isa,AU,2021-06-01 18:56:27,-20.7333,139.5,58.77,67,1,1.14
24,Saskylakh,RU,2021-06-01 18:56:27,71.9167,114.0833,36.68,85,99,12.91
25,Pevek,RU,2021-06-01 18:56:27,69.7008,170.3133,37.65,68,57,1.77
26,Albany,US,2021-06-01 18:56:06,42.6001,-73.9662,77.61,43,90,5.64
27,Cape Town,ZA,2021-06-01 18:54:28,-33.9258,18.4232,57.61,81,0,6.98
28,Severo-Kurilsk,RU,2021-06-01 18:56:28,50.6789,156.125,39.18,92,100,3.49
29,Narsaq,GL,2021-06-01 18:56:28,60.9167,-46.05,46.08,55,73,10.87
30,Rikitea,PF,2021-06-01 18:56:29,-23.1203,-134.9692,71.91,55,2,22.26
31,Bluff,NZ,2021-06-01 18:56:29,-46.6,168.3333,49.8,87,98,18.32
32,New Norfolk,AU,2021-06-01 18:56:29,-42.7826,147.0587,51.58,72,99,1.01
33,Khatanga,RU,2021-06-01 18:56:30,71.9667,102.5,35.82,94,100,16.15
34,Esperance,AU,2021-06-01 18:56:30,-33.8667,121.9,55.24,74,99,11.07
35,Ancud,CL,2021-06-01 18:56:30,-41.8697,-73.8203,52.43,70,98,7.83
36,Mar Del Plata,AR,2021-06-01 18:56:31,-38.0023,-57.5575,65.08,49,0,1.01
37,Carnarvon,AU,2021-06-01 18:56:31,-24.8667,113.6333,55.47,82,82,9.22
38,Nanortalik,GL,2021-06-01 18:56:31,60.1432,-45.2371,40.14,78,59,12.06
39,Oistins,BB,2021-06-01 18:54:41,13.0667,-59.5333,86.09,51,40,16.11
40,Lavrentiya,RU,2021-06-01 18:56:32,65.5833,-171.0,32.09,71,7,17.69
41,Kamiiso,JP,2021-06-01 18:56:32,41.8167,140.65,51.66,81,100,2.8
42,Saint-Philippe,RE,2021-06-01 18:56:32,-21.3585,55.7679,76.59,84,56,11.83
43,Roald,NO,2021-06-01 18:56:33,62.5833,6.1333,67.12,82,11,5.75
44,Okha,RU,2021-06-01 18:56:33,53.5739,142.9478,41.14,92,19,7.61
45,Longyearbyen,SJ,2021-06-01 18:56:33,78.2186,15.6401,35.44,93,75,4.61
46,Zhigansk,RU,2021-06-01 18:56:34,66.7697,123.3711,54.23,59,100,6.46
47,Forestville,US,2021-06-01 18:51:47,38.8451,-76.875,81.05,53,40,11.5
48,Mangit,UZ,2021-06-01 18:56:34,40.5971,70.9607,79.88,30,0,4.18
49,Hamilton,US,2021-06-01 18:55:58,39.1834,-84.5333,78.03,51,100,1.01
50,Bethel,US,2021-06-01 18:56:35,41.3712,-73.414,79.09,49,100,1.01
51,Tasiilaq,GL,2021-06-01 18:56:35,65.6145,-37.6368,36.63,69,4,4.09
52,Half Moon Bay,US,2021-06-01 18:53:20,37.4636,-122.4286,88.57,68,90,3.0
53,Puerto Ayora,EC,2021-06-01 18:56:36,-0.7393,-90.3518,82.36,87,100,4.0
54,Bogande,BF,2021-06-01 18:56:36,12.9714,-0.1436,100.4,16,27,3.96
55,Dikson,RU,2021-06-01 18:56:36,73.5069,80.5464,30.34,98,97,8.84
56,Alofi,NU,2021-06-01 18:56:37,-19.0595,-169.9187,76.6,78,57,13.42
57,Butaritari,KI,2021-06-01 18:56:37,3.0707,172.7902,82.69,82,99,16.58
58,Chuy,UY,2021-06-01 18:56:38,-33.6971,-53.4616,66.11,53,74,11.32
59,Palmer,US,2021-06-01 18:56:38,42.1584,-72.3287,78.48,43,100,1.01
60,Emerald,AU,2021-06-01 18:56:38,-23.5333,148.1667,57.34,94,100,5.75
61,Haines Junction,CA,2021-06-01 18:56:38,60.7522,-137.5108,60.75,27,59,8.05
62,Norman Wells,CA,2021-06-01 18:56:39,65.282,-126.8329,44.64,81,90,16.11
63,Castro,BR,2021-06-01 18:56:39,-24.7911,-50.0119,66.72,61,0,3.0
64,Deputatskiy,RU,2021-06-01 18:56:40,69.3,139.9,55.67,41,78,2.62
65,Deloraine,AU,2021-06-01 18:56:40,-41.5333,146.6667,45.23,97,98,1.83
66,Bac Lieu,VN,2021-06-01 18:56:40,9.285,105.7244,82.35,81,100,9.91
67,Hobart,AU,2021-06-01 18:56:41,-42.8794,147.3294,51.93,73,100,3.0
68,Rosarito,MX,2021-06-01 18:56:41,32.3333,-117.0333,81.09,69,24,8.55
69,Batticaloa,LK,2021-06-01 18:56:41,7.7102,81.6924,81.99,79,61,4.94
70,Pisco,PE,2021-06-01 18:56:42,-13.7,-76.2167,68.05,77,20,11.5
71,Georgetown,MY,2021-06-01 18:56:42,5.4112,100.3354,81.9,91,20,3.0
72,Stornoway,GB,2021-06-01 18:56:42,58.2093,-6.3865,54.93,76,20,6.91
73,Kavieng,PG,2021-06-01 18:56:43,-2.5744,150.7967,78.55,86,100,5.82
74,Mantua,IT,2021-06-01 18:56:43,45.1667,10.7833,72.64,73,0,7.96
75,Novoagansk,RU,2021-06-01 18:56:43,61.9449,76.6625,41.59,70,17,8.19
76,Airai,TL,2021-06-01 18:56:44,-8.9266,125.4092,57.31,93,19,2.37
77,Atar,MR,2021-06-01 18:56:44,20.5169,-13.0499,97.41,23,99,9.24
78,Kidal,ML,2021-06-01 18:56:44,18.4411,1.4078,99.46,6,0,6.42
79,Fortuna,US,2021-06-01 18:56:45,40.5982,-124.1573,91.42,71,41,7.07
80,Honiara,SB,2021-06-01 18:56:45,-9.4333,159.95,77.94,89,90,4.9
81,Flin Flon,CA,2021-06-01 18:56:45,54.7682,-101.865,66.04,48,20,4.74
82,Eresos,GR,2021-06-01 18:56:46,39.1667,25.9333,69.31,71,72,10.4
83,Thompson,CA,2021-06-01 18:56:46,55.7435,-97.8558,59.16,47,20,4.61
84,Butembo,CD,2021-06-01 18:56:46,0.15,29.2833,60.98,76,93,3.71
85,Usinsk,RU,2021-06-01 18:56:47,65.9939,57.5281,35.6,72,100,21.94
86,Puerto Escondido,MX,2021-06-01 18:56:47,15.85,-97.0667,88.97,60,97,9.31
87,Mallow,IE,2021-06-01 18:56:47,52.1333,-8.6333,63.63,88,18,6.51
